"Partido","Numero Lista","Nombre Lista","Distrito","Cargo","Nombre","Posicion"
"ALIANZA CAMBIEMOS","502","FUERZA CIVICA RIOJANA","LA RIOJA","DIPUTADO NACIONAL SUPLENTE","BRIGIDO, ALFREDO HORACIO","3"
"ALIANZA CAMBIEMOS","502","FUERZA CIVICA RIOJANA","LA RIOJA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","CRABBE, MARCELA ALEJANDRA","1"
"ALIANZA CAMBIEMOS","502","FUERZA CIVICA RIOJANA","LA RIOJA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","TORRES, EDUARDO LEANDRO","1"
"ALIANZA CAMBIEMOS","502","FUERZA CIVICA RIOJANA","LA RIOJA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","ORDAS, ADRIANA MARCELA","2"
"ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","503","2U - UNIDAD","LA RIOJA","DIPUTADO NACIONAL TITULAR","GOYCOCHEA, ANA CAROLINA DEL CARMEN","1"
"ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","503","2U - UNIDAD","LA RIOJA","DIPUTADO NACIONAL TITULAR","CARRIZO, PEDRO JOSE","2"
"ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","503","2U - UNIDAD","LA RIOJA","DIPUTADO NACIONAL TITULAR","PAVON, HORACIO","3"
"ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","503","2U - UNIDAD","LA RIOJA","DIPUTADO NACIONAL SUPLENTE","TORRES, FABIAN NICOLAS","1"
"ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","503","2U - UNIDAD","LA RIOJA","DIPUTADO NACIONAL SUPLENTE","PAEZ, LIDIA MARINA","2"
"ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","503","2U - UNIDAD","LA RIOJA","DIPUTADO NACIONAL SUPLENTE","PAREDES, MARIA FILOMENA","3"
"ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","503","2U - UNIDAD","LA RIOJA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","IÑIGO, DANIEL HORACIO","1"
"ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","503","2U - UNIDAD","LA RIOJA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","SANCHEZ, MARCELO RICARDO","1"
"ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","503","2U - UNIDAD","LA RIOJA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","ARGAÑARAZ NIEVAS, AYLEN ALMENDRA","2"
"ES POSIBLE","63","1 - ES POSIBLE","LA RIOJA","DIPUTADO NACIONAL TITULAR","SANTANDER, CARLOS ALBERTO","1"
"ES POSIBLE","63","1 - ES POSIBLE","LA RIOJA","DIPUTADO NACIONAL TITULAR","CEJAS, GRISELDA NOEMI","2"
"ES POSIBLE","63","1 - ES POSIBLE","LA RIOJA","DIPUTADO NACIONAL TITULAR","VERA, VICTOR UBALDO","3"
"ES POSIBLE","63","1 - ES POSIBLE","LA RIOJA","DIPUTADO NACIONAL SUPLENTE","ORO, JOSE ANTONIO","1"
"ES POSIBLE","63","1 - ES POSIBLE","LA RIOJA","DIPUTADO NACIONAL SUPLENTE","BRAVO, SILVINA PATRICIA","2"
"ES POSIBLE","63","1 - ES POSIBLE","LA RIOJA","DIPUTADO NACIONAL SUPLENTE","SALOM, ELSA LEONOR","3"
"ES POSIBLE","63","1 - ES POSIBLE","LA RIOJA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","COVIAN, EUGENIO JOSE","1"
"ES POSIBLE","63","1 - ES POSIBLE","LA RIOJA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","AGÜERO, LORENA PAOLA","1"
"ES POSIBLE","63","1 - ES POSIBLE","LA RIOJA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","RIVEROS, LILIANA BEATRIZ","2"
"NUEVA IZQUIERDA","68","UNIDAD","LA RIOJA","DIPUTADO NACIONAL TITULAR","ACOSTA, LEONEL IGNACIO","1"
"NUEVA IZQUIERDA","68","UNIDAD","LA RIOJA","DIPUTADO NACIONAL TITULAR","DICHIARA, LUCILA GISELLA","2"
"NUEVA IZQUIERDA","68","UNIDAD","LA RIOJA","DIPUTADO NACIONAL TITULAR","VEDIA, ANASTASIO DOMINGO","3"
"NUEVA IZQUIERDA","68","UNIDAD","LA RIOJA","DIPUTADO NACIONAL SUPLENTE","LUGOS, ROMINA EMILSE","1"
"NUEVA IZQUIERDA","68","UNIDAD","LA RIOJA","DIPUTADO NACIONAL SUPLENTE","LOZANO, HERNAN RUBEN","2"
"NUEVA IZQUIERDA","68","UNIDAD","LA RIOJA","DIPUTADO NACIONAL SUPLENTE","CARRIZO, YANINA ELIZABETH","3"
"NUEVA IZQUIERDA","68","UNIDAD","LA RIOJA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL TITULAR","QUIROGA, CRISTIAN DAMIAN","1"
"NUEVA IZQUIERDA","68","UNIDAD","LA RIOJA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","ABALLAY, NICOLAS FRANCISCO","1"
"NUEVA IZQUIERDA","68","UNIDAD","LA RIOJA","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL SUPLENTE","FERNANDEZ, GLADYS PAOLA","2"
