"Partido","Numero Lista","Nombre Lista","Distrito","Cargo","Nombre","Posicion"
"ALIANZA FRENTE CAMBIA JUJUY","502","","JUJUY","PARLAMENTARIO MERCOSUR DISTRITO REGIONAL","AGUIRRE, NORMA GRACIELA","2"
"ALIANZA FRENTE CAMBIA JUJUY","502","A - UN NUEVO JUJUY","JUJUY","DIPUTADO NACIONAL TITULAR","MARTINEZ, SILVIA ALEJANDRA","1"
"ALIANZA FRENTE CAMBIA JUJUY","502","A - UN NUEVO JUJUY","JUJUY","DIPUTADO NACIONAL TITULAR","MEDRANO, FEDERICO RAMON","2"
"ALIANZA FRENTE CAMBIA JUJUY","502","A - UN NUEVO JUJUY","JUJUY","DIPUTADO NACIONAL TITULAR","ESPINOSA, PEDRO MANUEL \"PITI\"","3"
"ALIANZA FRENTE CAMBIA JUJUY","502","A - UN NUEVO JUJUY","JUJUY","DIPUTADO NACIONAL SUPLENTE","ALBORNOZ, GABRIELA ROMINA","1"
"ALIANZA FRENTE CAMBIA JUJUY","502","A - UN NUEVO JUJUY","JUJUY","DIPUTADO NACIONAL SUPLENTE","VACA, GENARO MAXIMO","2"
"ALIANZA FRENTE CAMBIA JUJUY","502","A - UN NUEVO JUJUY","JUJUY","DIPUTADO NACIONAL SUPLENTE","LUNA, GUIDO MATIAS","3"
"ALIANZA FRENTE CAMBIA JUJUY","502","B - UNAMOS JUJUY","JUJUY","DIPUTADO NACIONAL TITULAR","SNOPEK, ALEJANDRO FRANCISCO","1"
"ALIANZA FRENTE CAMBIA JUJUY","502","B - UNAMOS JUJUY","JUJUY","DIPUTADO NACIONAL TITULAR","RAMOS, GRACIELA ESTER","2"
"ALIANZA FRENTE CAMBIA JUJUY","502","B - UNAMOS JUJUY","JUJUY","DIPUTADO NACIONAL TITULAR","CORTEZ, LINA VALERIA","3"
"ALIANZA FRENTE CAMBIA JUJUY","502","B - UNAMOS JUJUY","JUJUY","DIPUTADO NACIONAL SUPLENTE","MACIAS, JORGE DANIEL","1"
"ALIANZA FRENTE CAMBIA JUJUY","502","B - UNAMOS JUJUY","JUJUY","DIPUTADO NACIONAL SUPLENTE","ALMAZAN, SILVIA RAQUEL","2"
"ALIANZA FRENTE CAMBIA JUJUY","502","B - UNAMOS JUJUY","JUJUY","DIPUTADO NACIONAL SUPLENTE","TORO, OMAR EDGARDO","3"
"ALIANZA FRENTE CAMBIA JUJUY","502","B - UNAMOS JUJUY","JUJUY","DIPUTADO NACIONAL SUPLENTE","PUBZOLU, DAGO ALBERTO JUSTO","1"
"ALIANZA FRENTE CAMBIA JUJUY","502","B - UNAMOS JUJUY","JUJUY","DIPUTADO NACIONAL SUPLENTE","CASTRO, FLAVIA VALERIA SOLEDAD","2"
"ALIANZA FRENTE CAMBIA JUJUY","502","B - UNAMOS JUJUY","JUJUY","DIPUTADO NACIONAL SUPLENTE","FERNANDEZ BALLESTY, ALEJANDRO JULIAN","3"
"ALIANZA FRENTE CAMBIA JUJUY","502","M - EL CAMINO DEL CAMBIO","JUJUY","DIPUTADO NACIONAL","MARTIN BERARDI, GUILLERMO","1"
"ALIANZA FRENTE CAMBIA JUJUY","502","M - EL CAMINO DEL CAMBIO","JUJUY","DIPUTADO NACIONAL","VERZINI, ALEJANDRA","2"
"ALIANZA FRENTE CAMBIA JUJUY","502","M - EL CAMINO DEL CAMBIO","JUJUY","DIPUTADO NACIONAL","ALFONSO, DIEGO RAMIRO","3"
"ALIANZA FRENTE CAMBIA JUJUY","502","M - EL CAMINO DEL CAMBIO","JUJUY","DIPUTADO NACIONAL","VILCA, ALEJANDRO ARIEL","1"
"ALIANZA FRENTE CAMBIA JUJUY","502","M - EL CAMINO DEL CAMBIO","JUJUY","DIPUTADO NACIONAL","LOPEZ, NATALIA ARACELI","2"
"ALIANZA FRENTE CAMBIA JUJUY","502","M - EL CAMINO DEL CAMBIO","JUJUY","DIPUTADO NACIONAL","EGÜEZ, SILVIO","3"
"ALIANZA FRENTE CAMBIA JUJUY","502","M - EL CAMINO DEL CAMBIO","JUJUY","DIPUTADO NACIONAL","GUERRA, LUIS ALFONSO","1"
"ALIANZA FRENTE CAMBIA JUJUY","502","M - EL CAMINO DEL CAMBIO","JUJUY","DIPUTADO NACIONAL","AMAYA, ROMINA MABEL","2"
"ALIANZA FRENTE CAMBIA JUJUY","502","M - EL CAMINO DEL CAMBIO","JUJUY","DIPUTADO NACIONAL","LUNA, SANDRA NOEMI","3"
"ALIANZA FRENTE CAMBIA JUJUY","502","M - EL CAMINO DEL CAMBIO","JUJUY","DIPUTADO NACIONAL","MORALES, NATALIA ANDREA","1"
"ALIANZA FRENTE CAMBIA JUJUY","502","M - EL CAMINO DEL CAMBIO","JUJUY","DIPUTADO NACIONAL","LOPEZ, MIGUEL ANDRES","1"
"ALIANZA FRENTE CAMBIA JUJUY","502","M - EL CAMINO DEL CAMBIO","JUJUY","DIPUTADO NACIONAL","MUÑOZ, DANIELA ALEJANDRA","2"
"ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","503","2U - UNIDAD","JUJUY","DIPUTADO","ALDASORO, MARTIN IÑAKI","1"
"ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","503","2U - UNIDAD","JUJUY","DIPUTADO","MENDEZ TORREZ, VICTORIA","2"
"ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","503","2U - UNIDAD","JUJUY","DIPUTADO","FONTANA, CARLOS HECTOR","3"
"ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","503","2U - UNIDAD","JUJUY","DIPUTADO","DI BLASIO, MIGUEL ERNESTO","1"
"ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","503","2U - UNIDAD","JUJUY","DIPUTADO","RUIZ, ANALIA NATALIA","2"
"ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","503","2U - UNIDAD","JUJUY","DIPUTADO","MARTINEZ, ANDREA DE LOS ANGELES","3"
"ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","503","2U - UNIDAD","JUJUY","PARLAMENTARIO","MENDOZA, JOSE SEBASTIAN","1"
"ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","503","2U - UNIDAD","JUJUY","PARLAMENTARIO","VELAZQUEZ, DANIELA ESTEFANIA","1"
"ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","503","2U - UNIDAD","JUJUY","PARLAMENTARIO","CASTILLO, SERGIO GUSTAVO","2"
"ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","503","2U - UNIDAD","JUJUY","PARLAMENTARIO","ARAMAYO, BENITO CARLOS","1"
"ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","503","2U - UNIDAD","JUJUY","PARLAMENTARIO","ACOSTA, ELISA DEL VALLE","2"
"ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","503","2U - UNIDAD","JUJUY","PARLAMENTARIO","COLQUI, ELSA GLADIS","3"
"ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","503","2U - UNIDAD","JUJUY","PARLAMENTARIO","SANCHEZ, ELIZABETH SONIA","1"
"ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","503","2U - UNIDAD","JUJUY","PARLAMENTARIO","LEIVA, JOSE MARIA","2"
"ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","503","2U - UNIDAD","JUJUY","PARLAMENTARIO","PINTO, JAVIER RAMON","3"
"ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","503","2U - UNIDAD","JUJUY","PARLAMENTARIO","VARGAS, MARIANA","1"
"ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","503","2U - UNIDAD","JUJUY","PARLAMENTARIO","MARTINEZ, CARLOS ROLANDO","1"
"ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES","503","2U - UNIDAD","JUJUY","PARLAMENTARIO","TROPEA, SILVIA SUSANA","2"
